artist,track
MYK,One Heart
Taisei Iwasaki,Keep On The Sunny Side
Foxing,Redwoods Two
Glass Animals,Mama's Gun
Toby Fox,Shop
Görkem Han,Ocean
John Mayer,I'm Gonna Find Another You - Acoustic
John Mayer,On The Way Home
James Blunt,You're Beautiful
Dr. Dog,"The Rabbit, the Bat, and the Reindeer"
Alabama Shakes,Hold On
Thrupence,Thought 8
Maximum Love,Space Vulture 21210
RADWIMPS,Nandemonaiya - movie edit.
RADWIMPS,Date 2
The Script,If You Could See Me Now
Up Dharma Down,Feelings (featuring Paul Buchanan)
Elvis Presley,Hound Dog
The Midnight,The Years (Prologue) - Instrumental
Charlie Lim,I Only Tell the Truth
John Mayer Trio,Daughters - Live In Concert
Koethe,Storm
jome,Crystalline
Duumu,Little Me
Bright Eyes,Road to Joy
Yusuf,"If You Want to Sing Out, Sing Out"
Matt & Kim,Daylight
Meiko,Crush
Meiko,You're Mine (The Chase)
Meiko,Bad Things
Porcupine Tree,Disappear
Travelers,Backwall Memorial
Travelers,Walking On My Hands
Travelers,Un Bruit Qu'on n'entend Pas
Travelers,Sleeptalking
Adam Melchor,The Archer
Billie Marten,La Lune
Mestís,Luz y Cielo
Junge Junge,Run Run Run
Otis Redding,Stand by Me
Langhorne Slim,The Way We Move
The Godfather,Part II
The xx,Reconsider (Jamie xx edit)
Black Country Communion,Cold
The Tragically Hip,It's a Good Life If You Don't Weaken
Thalles,"You, The Ocean and Me"
Lydia,The Exit
Matt DiMona,The Universe We Dreamt
Bell X1,Bring Me A Fire King
Vitamin String Quartet,All I Need
Valise,Strange Light
CHVRCHES,Down Side of Me (Live)
B STORY,Back Then
"Astronauts, etc.",If I Run
Ólafur Arnalds,Particles - Island Songs VI
The Naked and Famous,Young Blood - Stripped
Oketo,Bone Dance - Audiotree Live Version
Mansionair,Speak Easy
The National,I Need My Girl
Bon Iver,29 #Strafford APTS
Harunemuri,rock 'n' roll wa shinanai with totsuzenshounen
Kings of Leon,Use Somebody
Noah Kahan,Tidal
Noah Kahan,Sink
Quiet Arrows,Find a Way
Lauv,Feelings
NoMBe,Rocky Horror
Iron & Wine,Passing Afternoon - Demo
Foy Vance,Fifteen
Tall Heights,Back To Autumn
Scott James,Park Music
Richard Cheese,American Idiot
Richard Cheese,Creep
Scott BradLee's Postmodern Jukebox,I Want It That Way
Yuna,Lullabies - Adventure Club Remix
John Frusciante,Song to Sing When I'm Lonely
John Mayer,"Waiting On the World to Change - Live at the Nokia Theatre, Los Angeles, CA - December 2007"
Vitamin String Quartet,Clarity
Flipturn,Churches
Annie Lennox,"No More ""I Love You's"""
illion,Dream Play Sick
Chris Rubeo,Lights
Karnaboy,Shy
YOKE LORE,Beige (Shy Girls Remix)
Kevin Penkin,Music
Coldplay,Sparks
Josiah McDaniel,Life is Strange - Max & Chloe
Troye Sivan,EASE - Lontalius Remix
Clones of Clones,Mine
Elliot Root,I.Y.H.
The Reign Of Kindo,Return To Me
Andrea Marie,Feel It All
Delta Sleep,Camp Adventure
dné,Meeting Points at 2AM
Vansire,That I Miss You - Audiotree Live Version
American Football,My Instincts Are the Enemy
Bent Denim,Key Lime Pie
Blackfield,Christenings
Steven Wilson,The Last Day Of June
The Chieftains,Down In The Willow Garden
Karen O,Hideaway
No-Man,Streaming
Steven Wilson,Belle de Jour
The Pineapple Thief,That Shore
Spandau Ballet,TRUE - Single Edit
Roxy Music,More Than This - Remastered
John Mayer,"Come Back to Bed - Live in Philadelphia, PA & Hartford, CT"
Penny and Sparrow,Finery
Imaginary Future,I Will Spend My Whole Life Loving You
Radiohead,House of Cards
Siddhartha,Náufrago
Phoenix,Too Young
The Paper Kites,Revelator Eyes (101.9 KINK)
Turnover,Cutting My Fingers Off
bjéar,Firefall
Porter Robinson,Sad Machine
Benjamin Francis Leftwich,Atlas Hands
Yuuki Ozaki (from Galileo Galilei),Trigger
Eden,and
Daniel Ferri,Burn the Witch
Daniel Ferri,Feeling Good
Broken Bells,The Remains of Rock & Roll
deadman 死人,Omae Wa Mou
Port O'Brien,I Woke Up Today
YUI,Again Live
Roop Kumar Rathod,Maula Mere Maula
arlie,too long
Young the Giant,Mirrorball
Phoenix,Fior Di Latte
Death Cab for Cutie,When We Drive
Passion Pit,Sleepyhead
Silversun Pickups,Lazy Eye
Grouplove,Hollywood
Kasabian,Put Your Life On It
Queen,Under Pressure - Remastered
RADWIMPS,Library
RADWIMPS,Disappeared Town
RADWIMPS,Visit to Hida
RADWIMPS,Evoking Memories
RADWIMPS,Autumn Festival
RADWIMPS,Date
RADWIMPS,Goshintai
Ourselves The Elves,Cincinnati Clocks
Ryan Star,Brand New Day
Gotye,Somebody That I Used to Know
Slash,Gotten
The Wombats,1996
John Denver,Islands
Leagues,Slow And Steady
2Cellos,With or Without You
Porcupine Tree,Phase III (Astralasia Dreamstate)
Bostich+Fussible,Tijuana Bass
Cedric Marvais,Trapped
Radiohead,Dollars & Cents
Linkin Park,Papercut
Arctic Monkeys,American Sports
A.R. Rahman,Khoon Chala
Rameses B,Bae Bae
M83,Bibi the Dog (feat. Mai Lan)
Emancipator,Wolf Drawn
Eden Project,drowning.
Portishead,The Rip
New Radicals,You Get What You Give
James Wyatt Crosby,Deep In Yr Mind
The Marías,I Don't Know You
The Last Shadow Puppets,My Mistakes Were Made for You
Arcade Fire,Get Right
FLOOR CRY,happy together
FLOOR CRY,Swimming Team
FLOOR CRY,i'll be around
FLOOR CRY,Drive
Alive,Krewella
RADWIMPS,Theme of Ms. Okudera
RADWIMPS,Cafe At Last
RADWIMPS,First View of Tokyo
RADWIMPS,Itomori High School
RADWIMPS,School Road
Sound Remedy,missing u
Radiohead,Untitled
Grouplove,Back In the 90's
Blackfield,Where Is My Love?
Haken,Bound by Gravity
The Pineapple Thief,Last Man Standing
FANTOMPOWER,My Take on Solidao.
Brittin Lane,The Moon Song
Hovvdy,In the Sun
The Collection,Sing Of The Moon
B. P. Valenzuela,EARLY LATE
Angus Maude,I'm Happy You Exist
Lola Amour,Maybe Maybe
cehryl,sway
Reese Lansangan,St.Petersburg
She's Only Sixteen,Magic
rebelsuns.,Portland
Vinyl Theatre,Dream of Me
Gregory and the Hawk,Oats We Sow
Little Tybee,More Like Jason
Golden Retriever,Consonance
paniyolo,Color
From Indian Lakes,The Monster
Lave,Seafoam
Eskmo,"Oh in This World of Dread, Carry On"
Satellite Music Collective,Cant Help Falling In Love - Acoustic
Linked Horizon,Shinzo wo Sasageyo! - TV Size
Flow,Sign - Naruto Opening Mix
Flow,COLORS
Z,Transform Numericals
Yuki Hayashi,My Hero Academia
Z,Transform Shifting Property
Kenshi Yonezu,Peace Sign
Z,Transform : Transform of Basic functions
Hippo Campus,Suicide Saturday
Z,"Transform : Definition , Transofrm of Basic functions"
White Moth Black Butterfly,Rising Sun - Acoustic
Fleetwood Mac,Dreams - 2004 Remaster
Rubel,Quando Bate Aquela Saudade
Bahamas,Way With Words
Bahamas,Lost In The Light
Lewis Watson,Into The Wild
Bon Iver,re:Stacks
Bon Iver,Re: Stacks
Father John Misty,Chateau Lobby #4 (in C for Two Virgins)
Canyon City,Be Scared With Me
Illenium,Reverie
Hearts Grow,ユラユラ
ASIAN KUNG-FU GENERATION,Re:Re: - 2016 Rerecorded
The Revivalists,Wish I Knew You
Bryan Adams,"Have You Ever Really Loved A Woman? - From ""Don Juan DeMarco"""
Luca Stricagnoli,Feel Good Inc.
Predawn,Suddenly
A Silent Film,Read My Mind - Piano Version
A Silent Film,This River Is Wild - Piano Version
A Silent Film,Bling (Confession of a King) - Piano Version
A Silent Film,Why Do I Keep Counting? - Piano Version
Coldplay,Hymn For The Weekend - Seeb Remix
Eluvium,Prelude for Time Feelers
Tycho,Phoenix
Mogwai,Huaynaputina
Marconi Union,Weightless
Jónsi,Boy 1904
midst,"Wake up, O sleeper"
Luke Howard,Oversky
Fort Road,Fluke
Taylor Davis,Brothers (Fullmetal Alchemist)
Koda,The Last Stand
Tycho,Plains
Imogen Heap,Climb to Sakteng
Sigur Rós,Sigur 3 (Untitled)
Hammock,Gold Star Mothers
Chequerboard,Opening The Gates
Ott,The Queen Of All Everything
July Skies,Distant Showers Sweep Across Norfolk Schools
Helios,Nothing it Can
A Silent Film,Enterlude - Piano Version
A Silent Film,Sam's Town - Piano Version
Lotus,Colorado
Lights & Motion,Paper Wings
Boyzone,Words
Zella Day,Seven Nation Army
Oh Wonder,Crazy In Love - BBC Session
Brolly,Son
ODESZA,All We Need (feat. Shy Girls)
Clem Leek,Change
Elliot Root,Chemical Sweat
Milo Greene,1957
Kings of Leon,Pyro
Emancipator,Natural Cause
Imaginary Future,I Knew This Would Be Love
Luke Sital-Singh,Pure
Julia Michaels,Anxiety (with Selena Gomez)
Air,Alone in Kyoto
Lil Wayne,Go DJ
Jay Sean,Hit The Lights - Edited Version
Eminem,No Love
Jay Sean,Down
菅野よう子,Blue
Flow,Sign
MONORAL,kiri
Edward Sharpe & The Magnetic Zeros,Home
The Wombats,Let's Dance to Joy Division
Lazarus,Porcupine Tree
Tourist,Emily
Bibio,Lovers’ Carvings
Bonobo,Linked
Emancipator,Nevergreen
Tycho,Awake
The American Dollar,Anything You Synthesize - Ambient
Tycho,Jetty
Flora Cash,You're Somebody Else
Random Rab,Apparently
Matt Maltese,Even If It's a Lie - Demo
ODESZA,iPlayYouListen
Arcade Fire,Sprawl I (Flatland)
Grayson Erhard,Unspecified Bird Calls
Porcupine Tree,Arriving Somewhere but Not Here - Live
Garth Stevenson,Shift
A R I Z O N A,I Was Wrong - Robin Schulz Remix
Oh Wonder,Plans
Upright T-Rex Music,North Sky Country (In-Game)
mabel ye,beautiful brain
空気公団,きれいだ
duendita,one of one
Pegboard Nerds,Free
Adam Young,Asteroid Belt
Sufjan Stevens,To Be Alone With You
Pavement,Harness Your Hopes - (B-side)
The Wombats,Isabel
Third Eye Blind,Semi-Charmed Life - Remastered 2006
Spoon,The Underdog
Lewis Watson,Little Light
Julian Lage,Atlantic Limited - Live from Savannah Music Festival
Blur,Song 2 - 2012 Remaster
The Wombats,Greek Tragedy - Bastille Remix
Banana Fish,Chinatown
Daisuke,Moshimo
Paradise Lunch,Gun's & Roses
Andrew Huang,Tines
Walk the Moon,Tiger Teeth
DJ Badu,Aruarian Dance
Pogo,Watching You
Yoshihiro Koseki,Fine on the Outside
Fog Lake,Dinosaur
sleepy.ab,写真
Philip Brooks,heatwave
Porter Robinson,Hear The Bells
Adib Sin,From Here
Ryan Roth,Va
Red Handed Denial,Wanderer
Haruka Nakamura,Sad Premonition / Lilium
Harrison Storm,Sense of home
Novo Amor,Birthplace
Gregory Alan Isakov,Amsterdam
Peter Bradley Adams,Interlude For Piano
The Oh Hellos,Hello My Old Heart
Novo Amor,Alps
Roo Panes,Tiger Striped Sky
The Paper Kites,How Long
The Paper Kites,It's Not Like You
The Paper Kites,Between the Houses
Del Water Gap,High Tops
Bear's Den,Sophie
Habe,Rollerblade
Sum 41,Pieces
Owl City,Wolf Bite
Oda Kaori,Calling (TV SIZE)
Madrugada,Vocal - 2010 Remastered Version
Walter Mitty And His Makeshift Orchestra,Chamomile
Walter Mitty And His Makeshift Orchestra,Auntie Earth
alt-J,Intro
Knox Hamilton,The Heights
The Decemberists,Make You Better
The Happy Fits,Right Through
BØRNS,Electric Love
Motopony,Euphoria
Vitamin String Quartet,Dark Necessities
小谷美紗子,雪でもいい
Nat & Alex Wolff,Tenderly
John Mayer,Something Like Olivia - Acoustic
Hawai,Circle K (Back To You)
alt-J,Hunger of the Pine
Chris Cornell,"You Know My Name - From ""Casino Royale"" Soundtrack"
Dave Matthews Band,Crash into Me
Daniel Ferri,Mercy
Daniel Ferri,Identikit
Daniel Ferri,Dig Down
Daniel Ferri,Knights of Cydonia
Flying Colors,Kayla
Daniel Ferri,The Scientist
菅野よう子,Spokey Dokey
Cowboy Bebop OST 4,Gotta Knock a Little Harder
菅野よう子,The Real Folk Blues ending theme
Miura Jam,Fatima (Steins Gate 0)
RE:RE:,Asian Kung-Fu Generation Boku dake ga Inai Machi OP
again,YUI Fullmetal Alchemist Brotherhood Op 1
STEINS;GATE 0 Opening,"Fatima"" by Kanako Ito"
Fly Me To The Moon,Kermit Edition
Fly Me To The Moon,Traffic cone version
Fly Me To The Moon,Every Evangelion Ending
The Head and the Heart,Lost In My Mind
Sarah Jaffe,Clementine
Sylvan Esso,Slack Jaw
The Maine,Transatlanticism
Grove,June
Steins;Gate,2 versions OP 比較
Pokémon,Pokemon World
Banana Fish,Eiji
Zwei,LAST GAME
nobodyknows+,Hero's Come Back!!
Flow,GO!!!
Akeboshi,Wind
Pokémon,Pokemon Johto
Thom Yorke,New Year's Eve on TV
Ocean Eyes,Billie Eilish // Cover by Keara Graves & Alyssa Baker
The Kooks,"Naive - Live At Abbey Road Studios,United Kingdom/2005 / Acoustic"
Sebastian Wolff,"Green Bird (From ""Cowboy Bebop"")"
Dido,If I Rise
Dido,White Flag
Daft Punk,Doin' It Right (feat. Panda Bear)
Brother Moses,Inertia
Eminem,25 to Life
Train,Drive By
Kaleo,Save Yourself
Coldplay,Magic
Arctic Monkeys,One Point Perspective
Blackfield,Glow
Ray LaMontagne,Be Here Now
Skylar Grey,Words
Behaving,Vivisect
José González,Heartbeats
Illenium,I'll Be Your Reason
Betty Who,Silas
Radiohead,Desert Island Disk
HAUX,Sister
Gungor,At Sea
Iron & Wine,"Flightless Bird, American Mouth"
Alcest,Sur l'océan couleur de fer
Low,Lullaby
Jesse Ruben,This Is Why I Need You
The Flaming Lips,The Castle
Devin Townsend Project,Kawaii
Small Black,Limits Of Desire
Tender,Armour
Land of Talk,It's Okay
Koda,Angel
Younger Brother,Ribbon On a Branch
The xx,Angels
No-Man,Back When You Were Beautiful
Laura Marling,The Valley
Mountains of the Moon,Bayou
Haken,The Path
Apanhador Só,Cartão postal
Two Ways,Beautiful Times
Dawn Golden,Last Train
Mother Mother,Alone And Sublime
Flight Facilities,Clair De Lune
Tidal Tears,Sundown
Benjamin Francis Leftwich,Stole You Away
Novo Amor,Callow
S. Carey,Fire-Scene
Aidan Knight,Dream Team
Mew,Cross the River on Your Own
Trentemøller,Come Undone - Trentemøller Remix
Avicii,Wake Me Up
Dan Salvato,Ohayou Sayori!
The Script,Superheroes
Catfish and the Bottlemen,Pacifier
Calvin Harris,Thinking About You (feat. Ayah Marar)
Hammock,Then The Quiet Explosion
Crywolf,Angels - Acoustic Version
Temples,Oh The Saviour
Omar A. Rodriguez-Lopez,Coma Pony
Mree,The Evergreen
Wintergatan,Starmachine2000
Ikue Asazaki,Yoisurabushi
The Midnight,Vampires - Instrumental
Tom Odell,Heal
Joe Inoue,Closer - English Version
Daft Punk,Give Life Back to Music
Daft Punk,Get Lucky (feat. Pharrell Williams)
Daft Punk,Fragments of Time (feat. Todd Edwards)
White Moth Black Butterfly,Tempest
Fazerdaze,Little Uneasy
July Child,Leave Me Out
Beck,Morning
The Japanese House,Face Like Thunder
Ichika,farewell
Leprous,Bonneville
The Pineapple Thief,Simple as That - Live @ Islington Assembly Hall
"Car, The Garden",Sarah
The Lulls in Traffic,Rabbit In The Snare
The Tragic Thrills,Persephone
Devices,Fools
Bon Iver,Coming Down
Zuli,fuzzy
No Vacation,August
Edwin Raphael,Isle Of Strawberries
Avid Dancer,Feels
Little Image,Bottles
CoVet,Sea Dragon - Audiotree Live Version
Leach,Roman Candles
Banana Fish,Dino
Flipsyde,Someday
Grails,Deep Politics
HAUX,Caves
Sky Sailing,Blue And Red
James Vincent McMorrow,Higher Love
Troye Sivan feat. Ariana Grande,Dance To This (feat. Ariana Grande)
The Gromble,You Don't Know
DOS-88,Far Away
DOS-88,Pit Fighter
Feed Me Jack,Burndt Jamb
DOS-88,Automata
DOS-88,Summer Forever
DOS-88,Billy's Sacrifice
DOS-88,Punkers
DOS-88,Underground
DOS-88,Brute Force
DOS-88,Night Life
DOS-88,City Lights
The Family Crest,Don't Wake Me
Kaptan,Dreamer - Stripped Down
サカナクション,mellow
Wild Child,Pillow Talk
Naruto Shippuden Ultimate Ninja Storm 4,All Ultimate Jutsus
The Wldlfe,Towel
Born Ruffians,Love Too Soon
John Mayer,Go Easy On Me
Brandon Flowers,Only the Young
Daniel Cavanagh,The Exorcist
Muse,The Groove
Sylvan Esso,There Are Many Ways To Say I Love You
Dayglow,"Dear Friend,"
RICEWINE,Photo
Daggy Man,Save Me Cake
bjéar,Sierra
Thom Yorke,Twist
Caribou,Bees
Deerhunter,The Missing
Slowdive,Don't Know Why
Yeah Yeah Yeahs,Heads Will Roll
Arcade Fire,Everything Now
Sigur Rós,Ágaetis Byrjun
The Flaming Lips,One More Robot / Sympathy 3000-21
Jon Hopkins,Candles
Hammock,Passing Away
Mogwai,Helps Both Ways
Massive Attack,Mezzanine
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams)
M83,I Need You
The Avalanches,Since I Left You
TV on the Radio,Young Liars
Boards of Canada,Reach for the Dead
Little Dragon,Klapp Klapp
Four Tet,LA Trance
Air,All I Need (feat. Beth Hirsch)
Slowdive,Alison
This Will Destroy You,Sleep - Bonus Track
Caribou,All I Ever Need
Beach House,Walk in the Park
A Great Big Pile Of Leaves,Learn to Share
Sunday Moon,Eleven
RYVOLI,Ulysses
Ben Zaidi,Irene.
Fazerdaze,Bedroom Talks
My Life As Ali Thomas,Winter's Love
ROOK1E,sweetheart
ROOK1E,i fell in love with you one night in september
Berlinist,Hold Me Tight
Tycho,Cloud Generator
Hammock,South
Porcupine Tree,"""Light Mass Prayers"""
Tycho,Past Is Prologue
Lily & Madeleine,Stuck On The Puzzle
Astronaut Husband,Stay
Eloise,"You, Dear"
Mutual Benefit,Skipping Stones
Steve Benjamins,Purification Ritual
Lo Noom,Pretty Woman
Saintseneca,How Many Blankets Are In The World?
Hazel English,It's Not Real
Modest Mouse,Sleepwalking (Couples Only Dance Prom Night)
Ben Gibbard,Lily
Whitney,Polly
Slow Hollows,Selling Flowers
Eminem,Stan
Alex Turner,Stuck on the Puzzle
Karnivool,Aeons
Foals,Sunday
Local Natives,Coins
Rhye,Needed
Bombay Bicycle Club,"Lights Out, Words Gone"
Foals,Spanish Sahara
Local Natives,Wide Eyes
The National,Light Years
The xx,Stars
The xx,Night Time
The xx,Basic Space
The xx,Fantasy
The xx,Heart Skipped a Beat
Ra Ra Riot,Water
Elliott Smith,Pictures of Me - live
Whitney,Giving Up
Blackfield,Summer
Scott BradLee's Postmodern Jukebox,Somewhere Only We Know
Scott BradLee's Postmodern Jukebox,Feel Good Inc.
Peach Pit,Drop the Guillotine
Runnner,Super Lotto
Gestures & Sounds,Thanker
Lexer,Let It Go
Gestures & Sounds,Lonely Loner Friends
Slow Pulp,High
Slow Pulp,At Home
half•alive,ok ok?
City and Colour,"Twilight - Live in Glace Bay, Ns May 11th, 2017"
No-Man,Photographs in Black and White
Steven Wilson,Thank You
Our Lady Peace,Are You Sad
Steven Wilson,An End to End
Benjamin Francis Leftwich,Just Breathe
Vancouver Sleep Clinic,Someone to Stay
Hayden Calnin,Introduction: Nothingness
Hydrogen Sea,If The Stars Grow Dim Tonight
Matthew And The Atlas,Can't You See - Acoustic Version
Blackbird Blackbird,Grow Old With Me (Don't Let Go)
Koda,The Warmth
Owen,The Sad Waltzes of Pietro Crespi
Big Thief,Mary
Benjamin Francis Leftwich,Don't Go Slow
Winter Aid,Penny Sweets
Tim Atlas,Unwind
Satchmode,In/Between
92914,오키나와 Okinawa
Clara Benin,Parallel Universe
jazzinuf,Soju
Babygirl,Soft
Yuki Hayashi,2 Heros
Waa Wei,Don't cry Don't cry - (公視:你的孩子不是你的孩子 主題曲)
OOHYO,Youth (DAY)
hyukoh,Gondry 공드리
The Black Skirts,That's Not Me
Wilco,Radio Cure
Beeches,Blackbird
Red Hot Chili Peppers,Readymade
The Ransom Collective,Open Road
Yes,Roundabout - 2003 Remaster
Subsignal,The Beacons Of Somewhere Sometime (Part 1: Maelstr
Gazpacho,Algorithm
Blackfield,The Hole in Me
The Pineapple Thief,Part Zero - Live @ Islington Assembly Hall
Bombadil,I Could Make You so Happy
Margaret Glaspy,You're Smiling (But I Don't Believe You)
Kevin Krauter,Fantasy Theme
Soft Glas,Perks of Being a Sunflower
Michael Kaneko,Hard To Be A Man - demo
Matthew Perryman Jones,Careless Man
SoBs,Vacation
Eisley,A Song For the Birds
Muse,Reapers
Yvette Young,Blossom
Paranoid void,泡沫の空、永遠の街
Lullatone,Falling Asleep With a Book on Your Chest
Predawn,霞草
Amber Run,Haze
Jesse McCartney,Beautiful Soul
John Mayer,"Your Body Is a Wonderland - Live in Philadelphia, PA & Hartford, CT"
Daniel Ferri,Panic Station
Muse,Panic Station - Live At Rome Olympic Stadium
Muse,New Born - Live from Wembley Stadium
Coin,Malibu 1992
FINNEAS,Claudia
Rod Ladgrove,Across the Universe
First Aid Kit,Fireworks - Recorded at Spotify Studios Stockholm
Gregory Alan Isakov,All Shades of Blue
Bastille,Laura Palmer - Abbey Road Sessions
Dreamer Boy,Falling for the Wrong One
Anuv Jain,Baarishein
Paradise Lunch,Gun's & Roses (TV SIZE)
Joe Inoue,Closer
Hualun,坏孩子的天空
Mallrat,Better
Perfume Genius,Slip Away
YOKE LORE,Goodpain
The fin.,There is Nothing More to Say
Eux Autres,Salut Les Copains
The Bots,War
Sweet Nobody,Manner of Speaking
Special Others Acoustic,WOLF
Manchester Orchestra,I Can Feel a Hot One
The Bangles,Eternal Flame
The Shins,Heartworms
Rivers Cuomo,Weezer Medley
Floral,Aquarius Theater
Kneebody,How High
KinokoTeikoku,パラノイドパレード
UQiYO,Modry sen
Julian Lage & Chris Eldridge,Steady Proof
Ichiko Aoba,重たい睫毛
Lorde,Ribs
amazarashi,Sora ni Utaeba
Jajnov,Trigger (Strings)
Josh Rouse,My Love Has Gone
Sure Sure,This Must Be the Place
Scarlett Johansson,The Moon Song - Film Version
Billie Eilish,bad guy
Yusuke Shima,Quiet Pho
Avicii,The Nights
Lorde,The Louvre
Lorde,Liability
John Mayer,My Stupid Mouth - Demo Version
Bahamas,All I've Ever Known
Keaton Henson,Petrichor
The National,This Is the Last Time
Fleet Foxes,"If You Need To, Keep Time on Me"
The Lumineers,Sleep on the Floor
Sufjan Stevens,The Only Thing
Cage the Elephant,Trouble
Blue Foundation,Watch You Sleeping
Brandon Flowers,Crossfire
Roy Kim,The Great Dipper
O3OHN,Somehow
Jannabi,She
hyukoh,Mer
1415,When It Snows
The fin.,Night Time
::M∆DE::IN::HEIGHTS::,All The Places
Owane,"""k"""
RADWIMPS,Lights go out
Novo Amor,Weather
Efterklang,Cutting Ice To Snow (Live)
The Flashbulb,Watching Traffic
Valley,Sports Car
Valley,A Phone Call In Amsterdam
Valley,There's Still A Light In The House
Ingrid Michaelson,"Our Secret - From ""The Magic Strings Of Frankie Presto: The Musical Companion"""
Short Round,Nowhere to Go
Maroon 5,She Will Be Loved - Acoustic
Electric Guest,This Head I Hold
Electric Guest,Waves
Amalee,Blue Bird (Naruto Shippuden)
Glen Hansard,Falling Slowly
To Kill a King,Choices
Owl City,Shooting Star - Acoustic
The Swell Season,Falling Slowly - Live
Rudderless,Over Your Shoulder
Dashboard Confessional,Carry This Picture
Donovan Woods,It'll Work Itself Out
Dermot Kennedy,For Island Fires and Family
Crying Day Care Choir,Branches
Canyon City,Fix You
St. Paul & The Broken Bones,Is It Me
Gavin James,City Of Stars
James Bay,If You Ever Wanna Be In Love - James Bay Spotify Session 2015
Jesse Hale Moore,Leave You Lonely
Water Liars,Let It Breathe
Tom Speight,Into the Night
Laura Veirs,Sun Song
The Lone Bellow,Fake Roses
Luke Thompson,"The Climb, The Fall"
James Blake,A Case of You
George Fitzgerald,Roll Back - Single Mix
First Aid Kit,America
X Ambassadors,JOYFUL
James Vincent McMorrow,Hear the Noise That Moves So Soft and Low
Lisa Hannigan,Fall
The Feeling,Love It When You Call
Gus Dapperton,I'm Just Snacking
flower face,jupiter
Jimmy Eat World,Drugs or Me
Ben Lee,Rise Up
Snow Patrol,Set the Fire to the Third Bar
Angus & Julia Stone,Chateau - Acoustic
Birdtalker,My Lover
Sonoff,Wi-Fi Wireless Smart Switch
Snow Patrol,This Isn't Everything You Are
George Taylor,The Youth
Owl City,The Saltwater Room
Porno Graffitti,THE DAY
Hydrogen Sea,Beating Heart
Aquilo,You Won't Know Where You Stand
Panic! at the Disco,Northern Downpour
NateWantsToBattle,"Heroes (From ""My Hero Academia"")"
Martin Garrix,There for You
The Slow Show,Bloodline
Vampire Weekend,Step
The Appleseed Cast,Fight Song
Trent Reznor and Atticus Ross,Disappearing Act
Cake,"Ruby, Don't Take Your Love to Town"
Bill Evans,We Will Meet Again (For Harry) - Remastered Version
Sufjan Stevens,Carrie & Lowell
Night Beds,You Were Afraid
Logic,Homicide
Quiet Arrows,Drift (Acoustic)
The Helio Sequence,Out Among The Sheltering Pines
Vallis Alps,Young
Eddie Vedder,Throw Your Arms Around Me
MISSIO,I Run to You
Phoria,Saving Us a Riot (live)
Metro-Ongen,Lily
RAC,Fever
VACATIONER,Strawberry Blonde
Trent Dabbs,Set for Life
Bicycles in Amsterdam,Wale
scntfc,Lost
Frog,Photograph
A.R. Rahman,Maahi Ve
Ringo Starr,Snookeroo
Jacob Collier,In The Real Early Morning
Young Earth,Got a Secret
Tycho,Slack
Foo Fighters,These Days
The Bangles,If She Knew What She Wants
Train,"Hey, Soul Sister"
Radiohead,Karma Police - Remastered
John Mayer,"Comfortable - Live at the Oak Mountain Amphitheater, Birmingham, AL - September 2002"
The Beach Boys,I Know There's An Answer - Remastered
Calvin Harris,Under Control
Radiohead,Lucky - Remastered
Haken,Because It’s There
Foxing,Night Channels
Mtns,Crave
Niklas Aman,North Atlantic Drift
Stickup Kid,Lost
Skyharbor,Blind Side
Matt Maltese,Studio 6
Christof van der Ven,You Left It Too Long
The Six Parts Seven,spaces between days (part 3)
Sean Heathcliff,A Boy and His Rose
Port Blue,Up Ship!
Mogwai,I Know You Are But What Am I?
Caspian,127 North
Henry Jamison,Through A Glass
A Great Big Pile Of Leaves,We Don't Need Our Heads
Dawes,We're All Gonna Die
tamu massif,Iron Lights
The New Regime,Say What You Will
Modest Mouse,Night On The Sun
Ryan Pollie,Spent
The Wet Darlings,Bicycle
Seoul,White Morning
Incubus,Here in My Room
Zola Blood,Islands
The Shins,It's Only Life
Angus & Julia Stone,Snow
Daughter,Candles
Marco Benevento,record book
World's End Girlfriend,Storytelling
The Dismemberment Plan,Superpowers
Grizfolk,Bob Marley
Awolnation,Headrest For My Soul
sjowgren,Now & Then
Chelou,Halfway To Nowhere
Lou Doillon,Where To Start
Damien Rice,Cheers Darlin'
Bastille,Pompeii
M83,Midnight City
Gungor,Long Way Off
RPWL,Unchain the Earth
John Mayer,Come Back To Bed - Live at the Shoreline Amphitheater
James Vincent McMorrow,"Wicked Game - Live At Killkenny Arts Festival, Ireland/2011"
John Mayer,If I Ever Get Around to Living
Sufjan Stevens,Mystery of Love (From the Original Motion Picture “Call Me by Your Name”)
Cake,Commissioning A Symphony In C
Cake,Love You Madly
검정치마,International Love Song
Hiroaki TOMMY Tominaga,Jojo Sono Chino Sadame
Massive Attack,Teardrop - Remastered 2006
Birds of Tokyo,Circles
Night Verses,Infinity Beach
Tycho,Field
M1LDL1FE,How You Forget
rumahsakit,Anywhere but Here
Sad Cops,Honey
Hotel New Tokyo,succession
Lenny code fiction,"Key - Bring It On, My Destiny"
Team Akihabara,Toumei Datta Sekai
Lauv,The Other - Stripped
Dead Battery,Sustain The Illusion
Stateless,Bloodstream - Quartet Session
James Brown,People Get Up And Drive Your Funky Soul - Remix
John Mayer,Neon - Live at C.W. Mitchell Pavillion
Tycho,Horizon
Tycho,Glider
Hippo Campus,The Halocline
Tomoya Naka,Rainy Song
